Time,Velocity_J1,Velocity_J2,Velocity_J3,Velocity_J4,Velocity_J5,Velocity_J6
34,0.0298614516478692,0.0298614516478692,0.0298614516478692,0.0298614516478692,0.0298614516478692,0.0298614516478692
34.05,0.0297422059400579,0.0297422059400579,0.0297422059400579,0.0297422059400579,0.0297422059400579,0.0297422059400579
34.1,0.0296226128922074,0.0296226128922074,0.0296226128922074,0.0296226128922074,0.0296226128922074,0.0296226128922074
34.15,0.0295026772256464,0.0295026772256464,0.0295026772256464,0.0295026772256464,0.0295026772256464,0.0295026772256464
34.2,0.0293824036752297,0.0293824036752297,0.0293824036752297,0.0293824036752297,0.0293824036752297,0.0293824036752297
34.25,0.0292617969891512,0.0292617969891512,0.0292617969891512,0.0292617969891512,0.0292617969891512,0.0292617969891512
34.3,0.0291408619287561,0.0291408619287561,0.0291408619287561,0.0291408619287561,0.0291408619287561,0.0291408619287561
34.35,0.0290196032683538,0.0290196032683538,0.0290196032683538,0.0290196032683538,0.0290196032683538,0.0290196032683538
34.4,0.0288980257950285,0.0288980257950285,0.0288980257950285,0.0288980257950285,0.0288980257950285,0.0288980257950285
34.45,0.0287761343084506,0.0287761343084506,0.0287761343084506,0.0287761343084506,0.0287761343084506,0.0287761343084506
34.5,0.0286539336206873,0.0286539336206873,0.0286539336206873,0.0286539336206873,0.0286539336206873,0.0286539336206873
34.55,0.0285314285560125,0.0285314285560125,0.0285314285560125,0.0285314285560125,0.0285314285560125,0.0285314285560125
34.6,0.0284086239507165,0.0284086239507165,0.0284086239507165,0.0284086239507165,0.0284086239507165,0.0284086239507165
34.65,0.0282855246529147,0.0282855246529147,0.0282855246529147,0.0282855246529147,0.0282855246529147,0.0282855246529147
34.7,0.0281621355223567,0.0281621355223567,0.0281621355223567,0.0281621355223567,0.0281621355223567,0.0281621355223567
34.75,0.0280384614302341,0.0280384614302341,0.0280384614302341,0.0280384614302341,0.0280384614302341,0.0280384614302341
34.8,0.0279145072589881,0.0279145072589881,0.0279145072589881,0.0279145072589881,0.0279145072589881,0.0279145072589881
34.85,0.0277902779021174,0.0277902779021174,0.0277902779021174,0.0277902779021174,0.0277902779021174,0.0277902779021174
34.9,0.0276657782639842,0.0276657782639842,0.0276657782639842,0.0276657782639842,0.0276657782639842,0.0276657782639842
34.95,0.027541013259621,0.027541013259621,0.027541013259621,0.027541013259621,0.027541013259621,0.027541013259621
35,0.0274159878145365,0.0274159878145365,0.0274159878145365,0.0274159878145365,0.0274159878145365,0.0274159878145365
35.05,0.0272907068645213,0.0272907068645213,0.0272907068645213,0.0272907068645213,0.0272907068645213,0.0272907068645213
35.1,0.0271651753554527,0.0271651753554527,0.0271651753554527,0.0271651753554527,0.0271651753554527,0.0271651753554527
35.15,0.0270393982430999,0.0270393982430999,0.0270393982430999,0.0270393982430999,0.0270393982430999,0.0270393982430999
