Time,Acceleration_J1,Acceleration_J2,Acceleration_J3,Acceleration_J4,Acceleration_J5,Acceleration_J6
8.2,0.00225691969558171,0.00225691969558171,0.00225691969558171,0.00225691969558171,0.00225691969558171,0.00225691969558171
8.25,0.00226538221235356,0.00226538221235356,0.00226538221235356,0.00226538221235356,0.00226538221235356,0.00226538221235356
8.3,0.00227375529571462,0.00227375529571462,0.00227375529571462,0.00227375529571462,0.00227375529571462,0.00227375529571462
8.35,0.00228203861510989,0.00228203861510989,0.00228203861510989,0.00228203861510989,0.00228203861510989,0.00228203861510989
8.4,0.00229023184352812,0.00229023184352812,0.00229023184352812,0.00229023184352812,0.00229023184352812,0.00229023184352812
8.45,0.00229833465751467,0.00229833465751467,0.00229833465751467,0.00229833465751467,0.00229833465751467,0.00229833465751467
8.5,0.00230634673718433,0.00230634673718433,0.00230634673718433,0.00230634673718433,0.00230634673718433,0.00230634673718433
8.55,0.00231426776623389,0.00231426776623389,0.00231426776623389,0.00231426776623389,0.00231426776623389,0.00231426776623389
8.6,0.00232209743195471,0.00232209743195471,0.00232209743195471,0.00232209743195471,0.00232209743195471,0.00232209743195471
8.65,0.00232983542524498,0.00232983542524498,0.00232983542524498,0.00232983542524498,0.00232983542524498,0.00232983542524498
8.7,0.00233748144062198,0.00233748144062198,0.00233748144062198,0.00233748144062198,0.00233748144062198,0.00233748144062198
8.75,0.00234503517623411,0.00234503517623411,0.00234503517623411,0.00234503517623411,0.00234503517623411,0.00234503517623411
8.8,0.00235249633387283,0.00235249633387283,0.00235249633387283,0.00235249633387283,0.00235249633387283,0.00235249633387283
8.85,0.0023598646189844,0.0023598646189844,0.0023598646189844,0.0023598646189844,0.0023598646189844,0.0023598646189844
8.9,0.00236713974068156,0.00236713974068156,0.00236713974068156,0.00236713974068156,0.00236713974068156,0.00236713974068156
8.95,0.00237432141175494,0.00237432141175494,0.00237432141175494,0.00237432141175494,0.00237432141175494,0.00237432141175494
9,0.00238140934868448,0.00238140934868448,0.00238140934868448,0.00238140934868448,0.00238140934868448,0.00238140934868448
9.05,0.00238840327165056,0.00238840327165056,0.00238840327165056,0.00238840327165056,0.00238840327165056,0.00238840327165056
9.1,0.00239530290454507,0.00239530290454507,0.00239530290454507,0.00239530290454507,0.00239530290454507,0.00239530290454507
9.15,0.00240210797498233,0.00240210797498233,0.00240210797498233,0.00240210797498233,0.00240210797498233,0.00240210797498233
9.2,0.0024088182143098,0.0024088182143098,0.0024088182143098,0.0024088182143098,0.0024088182143098,0.0024088182143098
9.25,0.00241543335761873,0.00241543335761873,0.00241543335761873,0.00241543335761873,0.00241543335761873,0.00241543335761873
9.3,0.00242195314375459,0.00242195314375459,0.00242195314375459,0.00242195314375459,0.00242195314375459,0.00242195314375459
9.35,0.00242837731532737,0.00242837731532737,0.00242837731532737,0.00242837731532737,0.00242837731532737,0.00242837731532737
9.4,0.0024347056187218,0.0024347056187218,0.0024347056187218,0.0024347056187218,0.0024347056187218,0.0024347056187218
9.45,0.00244093780410728,0.00244093780410728,0.00244093780410728,0.00244093780410728,0.00244093780410728,0.00244093780410728
9.5,0.00244707362544782,0.00244707362544782,0.00244707362544782,0.00244707362544782,0.00244707362544782,0.00244707362544782
9.55,0.00245311284051168,0.00245311284051168,0.00245311284051168,0.00245311284051168,0.00245311284051168,0.00245311284051168
9.6,0.002459055210881,0.002459055210881,0.002459055210881,0.002459055210881,0.002459055210881,0.002459055210881
9.65,0.00246490050196117,0.00246490050196117,0.00246490050196117,0.00246490050196117,0.00246490050196117,0.00246490050196117
9.7,0.00247064848299011,0.00247064848299011,0.00247064848299011,0.00247064848299011,0.00247064848299011,0.00247064848299011
9.75,0.00247629892704736,0.00247629892704736,0.00247629892704736,0.00247629892704736,0.00247629892704736,0.00247629892704736
9.8,0.00248185161106309,0.00248185161106309,0.00248185161106309,0.00248185161106309,0.00248185161106309,0.00248185161106309
9.85,0.00248730631582681,0.00248730631582681,0.00248730631582681,0.00248730631582681,0.00248730631582681,0.00248730631582681
9.9,0.00249266282599614,0.00249266282599614,0.00249266282599614,0.00249266282599614,0.00249266282599614,0.00249266282599614
9.95,0.00249792093010522,0.00249792093010522,0.00249792093010522,0.00249792093010522,0.00249792093010522,0.00249792093010522
10,0.00250308042057311,0.00250308042057311,0.00250308042057311,0.00250308042057311,0.00250308042057311,0.00250308042057311
10.05,0.00250814109371195,0.00250814109371195,0.00250814109371195,0.00250814109371195,0.00250814109371195,0.00250814109371195
10.1,0.00251310274973504,0.00251310274973504,0.00251310274973504,0.00251310274973504,0.00251310274973504,0.00251310274973504
10.15,0.00251796519276469,0.00251796519276469,0.00251796519276469,0.00251796519276469,0.00251796519276469,0.00251796519276469
10.2,0.00252272823083997,0.00252272823083997,0.00252272823083997,0.00252272823083997,0.00252272823083997,0.00252272823083997
10.25,0.00252739167592431,0.00252739167592431,0.00252739167592431,0.00252739167592431,0.00252739167592431,0.00252739167592431
10.3,0.00253195534391287,0.00253195534391287,0.00253195534391287,0.00253195534391287,0.00253195534391287,0.00253195534391287
10.35,0.00253641905463985,0.00253641905463985,0.00253641905463985,0.00253641905463985,0.00253641905463985,0.00253641905463985
10.4,0.0025407826318856,0.0025407826318856,0.0025407826318856,0.0025407826318856,0.0025407826318856,0.0025407826318856
10.45,0.00254504590338356,0.00254504590338356,0.00254504590338356,0.00254504590338356,0.00254504590338356,0.00254504590338356
